url,domain,title,authors,publish_date,summary,text
http://www.washingtonpost.com/blogs/blogpost/post/antoine-dodson-viral-video-star-arrested-for-marijuana-possession/2011/04/25/AFO4OKiE_blog.html,washingtonpost.com,"Antoine Dodson, viral video star, arrested for marijuana possession",Sarah Anne Hughes,04-25-2011,,"Antoine Dodson, the star of the Bed Intruder video, was arrested Saturday for possession of marijuana and other misdemeanor charges. Dodson became an Internet sensation after video of a news story about the attempted rape of his sister, featuring his passionate, ultimately humorous threat to the perpetrator, was given the autotune treatment and went viral on YouTube. Dodson is speaking publicly about his arrest through Twitter. He tweeted about his arrest Saturday and created the hashtag # HappyCourtDateAntoine. Let me be the first to tell it!! So just got out of jail off a weak charge. LmaORoTfF!!!!! Got pulled over in my (cont) less than a minute ago via TweetCaster Favorite Retweet Reply Antoine Dodson antoinedodson24 Fellow viral video star Ted Williams has suffered a similar fall from Internet granted grace. Williams went from homeless to gainfully employed after video of his radio perfect voice went viral. But as the recovering drug and alcohol addicts past was revealed, the story quickly went from uplifting to something a little sadder in only two weeks. Williams was arrested, but not charged, in January after he and his daughter argued in a Los Angeles hotel. The next day he admitted he wasnt sober on the Dr. Phil show and entered rehab. Now his story is taking another familiar turn: hes currently filming a reality show . Do the viewers who make these average people Internet celebs hold some responsibility for their fates? Let us know in the comments."
http://www.washingtonpost.com/blogs/blogpost/post/marijuana-legalization-is-the-war-on-drugs-working/2011/06/02/AGtC1JHH_blog.html,washingtonpost.com,Marijuana legalization: Is the war on drugs working?,T.J. Ortenzi,06-02-2011,,"Are we winning the war on drugs? Nope. While thats not a direct quote, it seems to summarize the conclusions of a high-level commission that aims to rethink global drug policies. In a new report , the group recommends legalization of marijuana and calls for drug policies guided by health care and human rights -- not criminal justice. The groups conclusions are the latest challenge to Americas war on drugs. The way Global Commission on Drug Policy sees things, democracy is threatened by the corruption and violence connected with the drug trade and U.S. efforts arent helping things. The debate is particularly hot in Mexico, where drug cartels selling to the American users have led increasingly brazen attacks on fellow citizens in an attempt to maintain profits and fear. Some already wonder if Mexico is a failed state . Its an awkward time for the war on drugs. While federal officials have maintained their stance -- under both Republican and Democratic administrations -- state governments and voters have been approving new medical marijuana laws that are at odds with federal ones . Even the changing political tides seem to be working against the war on drugs. The rise of Rep. Ron Paul (R-Tx.) and other libertarians like fellow 2012 candidate Gary Johnson reflect a portion of American society that seeks less government intervention in the lives of citizens. Did you catch Ron Pauls take on heroin at the last GOP debate?"
http://www.washingtonpost.com/blogs/celebritology/post/willie-nelsons-marijuana-related-plea-deal-rejected/2011/07/07/gIQAnyt21H_blog.html,washingtonpost.com,Willie Nelson’s marijuana-related plea deal rejected,Sarah Anne Hughes,07-07-2011,,"Willie Nelsons latest marijuana-related legal woes arent over yet. A judge has rejected a plea deal that would have Nelson plead guilty to possession of drug paraphernalia and pay a $500 fine. The country music legend was arrested in November after six ounces of marijuana were found on his tour bus. The deal was rejected Wednesday by Judge Becky Dean-Walker, who told the AP that Nelson should be charged with misdemeanor marijuana possession. The red-headed stranger could face a year in jail if convicted. This seems like a harsh turn in a case where an attorney said Nelson could get off with a fine if he sang Blue Eyes Crying in the Rain . Sadly, Dean-Walker later said the offer was a joke that got out of hand. This is not the first time Nelson, who has appeared on multiple High Times covers and in the 1998 film Half Baked, has been arrested for marijuana-related crimes. He was sentenced to six months probation for a misdemeanor count of marijuana possession in 2007."
http://www.washingtonpost.com/blogs/crime-scene/post/dc-police-cracking-down-on-fake-pot/2011/03/21/ABnxddDB_blog.html,washingtonpost.com,D.C. police cracking down on ‘fake pot’,Mary Pat Flaherty,03-22-2011,,"The operators of three shops in Adams Morgan and two gas station convenience stores in Anacostia have received written notice that they risk having business assets seized and forfeited under federal law if they sell fake pot, commonly marketed as K2 or Spice. Narcotics investigators for the Metropolitan Police on Monday began visiting stores where they said they had previously made undercover buys or learned of sales of synthetic marijuana, said Inspector Brian Bray, commander of narcotics and special investigations. Another three convenience stores are set to receive visits, Bray said. The product is not illegal under District law or under state law in Maryland, although there have been proposals to outlaw it in both places. Virginia recently banned synthetic marijuana. Spice cannot be detected by current urine testing methods and has become popular among military members, parolees and probationers who face random drug checks, said Bray. Eleven midshipmen have been expelled since January from the U.S. Naval Academy for using or possessing Spice in what is described as an ongoing investigation. On March 1, the Drug Enforcement Administration banned five chemicals that are used to treat herbs to make them mimic the effects of marijuana. The DEA is empowered to put a substance temporarily in Schedule I to avoid an imminent threat to public safety and acted, its spokesmen said, after increasing reports from emergency room doctors of convulsions, elevated heart rates and anxiety attacks among other side effects. At the time of the DEA ban, 16 states had outlawed the herbal mix, which often is packaged in foil envelopes and labeled as incense. Bray said it is selling in the District for about $40 a gram. Users in the District could be prosecuted due to the DEAs action, but it likely would be a minor drug case for federal court, said Bray, which is why investigators are focusing on putting stores on formal notice they stand to forfeit business assets for selling and distributing products containing the banned chemicals. In addition to Spice and K2, the fake pot is sold as Wicked X, Bliss, Black Mamba, Bombay Blue, Fake Weed, Genie, Blaze, Dream, Ex-Ses, Spark, Fusion, Dark Knight, Yucatan Fire, Sonic, AK-47, Atomic Orange and Zohai."
http://www.washingtonpost.com/blogs/early-lead/post/report-elijah-dukes-tried-to-eat-bag-of-marijuana-after-traffic-stop/2012/02/23/gIQAF1cVVR_blog.html,washingtonpost.com,Report: Elijah Dukes tried to eat bag of marijuana after traffic stop,Matt Brooks,02-23-2012,,"A routine traffic stop turned into yet another bizarre chapter in the troubled life of former Major League Baseball player Elijah Dukes. After Tampa police pulled over the 27-year-olds orange Chevy Camero early Thursday, Dukes tried to eat a small bag of marijuana , as first reported by the Tampa Tribune. Dukes was charged with drug possession, tampering with physical evidence, possession of drug paraphernalia and three counts of driving with a canceled or suspended license. He was not, however, cited for watching Super Troopers one too many times. According to records obtained by the Tribune, Dukes has been arrested dozens of times since 2001, including charges related to domestic violence and failure to pay child support. The Tampa Bay Rays selected Dukes in the third-round of the 2002 draft. He was released by Washington in 2010 after spending two up-and-down seasons with the Nationals. Last February, Dukes began rapping under the name Fly Eli, and in a Tampa Tribune story, said he would sometimes smoke marijuana before Nationals home games. Dukes also said he felt he had been blackballed by baseball after he came forward alleging fellow players were smuggling drugs onto chartered planes and using them in their hotel rooms. Major League Baseball refuted Dukes claims . Dukes, who has six children with four different women, was suspended in each of his first five professional seasons."
http://www.washingtonpost.com/blogs/mike-debonis/post/vincent-orange-proposes-capping-dc-marijuana-sites/2012/01/12/gIQAhiqMuP_blog.html,washingtonpost.com,Vincent Orange proposes capping D.C. marijuana sites,Mike DeBonis,01-12-2012,,"Well, Vincent Orange said hed fill the leadership void in Ward 5 during the months it will go without a D.C. Council member . His void-filling has wasted no time. Orange informed his colleagues today that hes proposing an emergency bill that will place limits on the number of medical marijuana facilities that can go in any particular ward. He would like a vote as soon as next Tuesday. Under the draft bill circulated Thursday by Orange, only five marijuana cultivation centers could be permitted in any single ward. As for dispensaries, where medical pot would actually be retailed, Orange aims to limit those to only two per ward. Also, if a ward has five or more cultivation centers, no dispensary could locate there. This is of particular interest to Ward 5, where most marijuana entrepreneurs are looking to open up their facilities as documented by DCist and the Washington Times. Orange represented the ward from 1999 to 2007. Former council member Harry Thomas Jr. had pondered a similar bill late last year, but, as it turned out, he had other matters to attend to . Many Ward 5ers including several who spoke at an Orange-hosted meeting Monday arent too jazzed about the prospect of legalized drug facilities, as theyre already quite annoyed about the concentration of strip clubs and other unsavory businesses in the ward. But theres a reason for that: Zoning restrictions keep many of those businesses from locating elsewhere in the city. Ward 5, with its relative surfeit of industrially zoned land and relative deficit of schools and other facilities that complicate the location of said unsavory businesses, just happens to be the main place these folks can legally go. There is nothing in the Orange bill that would address that problem, meaning the bill could be a de facto cap on the number of medical marijuana facilities above and beyond the caps contemplated in Health Department regulations (10 cultivation centers and five dispensaries). Update, 5:45 p.m..: Orange said hes not stopping with marijuana facilities; hes also aiming to cap the number of strip clubs, topless bars, gentlemens clubs, or adult entertainment establishments in a separate piece of legislation. I promised the Ward 5 leadership I was going to get this done, he said. A West Virginia Avenue NW establishment, Club AKA 55, has declared its intention to feature nude dancing, and Orange says he wants to nip the issue in the bud, as it were. If youre going to have a discussion on the cultivation centers and dispensaries, you might as well have a discussion on strip clubs as well, he said. Regarding the marijuana facilities, Orange said hes hoping his colleagues would see this oversaturation is unfair. For emergency legislation to pass, Orange needs nine votes out of 12. Asked whether he intends to address the zoning restrictions that are most responsible for said oversaturation, Orange said, that may be the product that comes out of this legislation. If its still determined 10 cultivation centers are needed, he said, maybe someone will present legislation to relax zoning regulations. What about Orange himself? Not at this point, he said."
https://www.washingtonpost.com/blogs/plum-line/wp/2014/04/23/why-the-marijuana-issue-is-only-going-to-get-bigger/,washingtonpost.com,Why the marijuana issue is only going to get bigger,Paul Waldman,04-23-2014,,"Marijuana legalization may be a bit of a quiet issue in this election year. But before long its going to get much bigger, moving into the electoral arena around the country and forcing itself into national debates in a way it hasnt been before, much as same-sex marriage did over the last few years. Were rapidly approaching the day when no politician with any significant ambitions can avoid having a well-considered position on the issue. Would-be public officials are going to be asked about it with increasing frequency, and it wont be enough to make a Cheech and Chong joketo change the subject. That isnt stopping them from trying, however. When Chris Christie got asked about legalization on his radio show, he said : For the people who are enamored with the idea with the income, the tax revenue from this, go to Colorado and see if you want to live theresee if you want to live in a major city in Colorado where theres head shops popping up on every corner and people flying into your airport just to come and get high. To me, its just not the quality of life we want to have here in the state of New Jersey and theres no tax revenue thats worth that. Officials from the rancid cauldron of sin and misery that is Colorado were quick to respond . From the beauty of the rolling hills of the Eastern Plains to the magnificent landscapes in the mountains and from our smallest rural towns to our largest cities, Colorado offers the greatest quality of life in the nation, said Senator Michael Bennett. A lot of people think Colorado is great place to live, work and play. Plus, we have a pretty awesome quality of life, said a spokesperson for Governor John Hickenlooper. Obviously, those guys must be high. This is something of a preview of the arguments well see as we move toward 2016 and legalization initiatives are on ballots all over the country. Youll notice that Christies argument was pragmatic, not moralistic. He didnt say that people who smoke pot are losers and criminals, or that its an instrument of evil. Instead he talked about the trade-offs between tax revenue and the vitality of urban shopping districts. Opponents of legalization realize that moralistic arguments against marijuana are going to be political losers, what with the fact that a majority of Americans now support legalization , plus the fact that most Americans have used it at some point in their lives . But that doesnt mean Republicans are going to come around to legalization any time soon,a factDemocrats hope will allow them to use ballot initiatives to burst turnout among some of their target constituencies. To be sure, this fall there may end up being only a couple of marijuana initiatives on the ballot. Florida voters will decide on a constitutional amendment providing for medical marijuana, and a full legalization initiative could make it to the ballot in Alaska . Advocates are also trying to put a measure on the ballot in Oregon . But if youre a legalization advocate,you actually shouldnt want to have an initiative on the ballot this year. In state after state, advocates have decided to wait until 2016, when they know more of Democrats and young people will be going to the polls to vote for president, to put the question to the voters. Advocates in California considered mounting a push this year, then put it off until 2016 . That presidential year could also see initiatives in Arizona, Maine, Massachusetts, Montana, and Nevada, and possibly other states as well. Theres a good reason for this: Polls show huge divides by age and party on theissue. Recent surveys by the Pew Research Center show that while only 32 percent of Americans over 65 favor legalization, 70 percent of those 18 to 29 favor it. The divide between parties is only slightly smaller, with 63 percent of Democrats favoring legalization compared to 39 percent of Republicans. With half a dozen or more states deciding legalization at the polls in 2016, it will be impossible for any politician to ignore. And after years of fruitful hippie-bashing, Republicans will find themselves increasingly on the defensive. And this issue is only going to get bigger and bigger."
https://www.washingtonpost.com/blogs/post-partisan/wp/2014/01/06/the-insiders-republicans-just-say-no-to-marijuana/,washingtonpost.com,"The Insiders: Republicans, just say no to marijuana",Ed Rogers,01-06-2014,,"There is no possible public good that can be derived from passing laws that legalize marijuana use, and Republicans should say so. With recently passed legalization laws going into effect in Colorado , and reports that New York is planning on loosening its marijuana laws, the best we can hope for is that these laws are written in a way that will protect the innocent as much as possible. Soon well be seeing the first reports of crime resulting from the marijuana business the DUIs, problems with underage access, etc. These are already problems associated with alcohol. Without question, we will face more human tragedy and ruined lives as a result of marijuana legalization. Tyler Williams of Blanchester, Ohio, selects marijuana strains to purchase at the 3-D Denver Discrete Dispensary on Jan. 1. Its not good policy to facilitate the opportunity for more inebriated people to wander among us. Legalizing marijuana is just not a good idea. Even my friend Ruth Marcus at XXX, who is not exactly a conservative commentator, said that widespread legalization is a bad idea, particularly because of the known negative impact smoking marijuana can have on adolescents and their development. She cited a 2012 study that found that persistent cannabis use was associated with neuropsychological decline broadly across domains of functioning. Republicans need to be clear on where they stand on this issue.We shouldnt think up reasons to do the wrong thing to try to look hip or appeal to reckless youth. If the Democrats think they have found an issue for 2014, let them be the ones to promise more pot to the population. And spare me the talk about personal freedom being at stake here. You arent more free if you are a pothead and freedom isnt measured by marijuana consumption."
https://www.washingtonpost.com/blogs/govbeat/wp/2013/12/27/legalizing-pot-could-save-california-hundreds-of-millions-every-year-state-says/,washingtonpost.com,"Legalizing pot could save California hundreds of millions every year, state says",Reid Wilson,12-27-2013,,"A proposed ballot measure that would legalize possession, use, growth and cultivation of marijuana would save the state of California hundreds of millions of dollars a year, according to a summary issued Thursday by the state attorney generals office. The summary, which Attorney General Kamala Harriss (D) office releases for each proposed ballot measure, says the state would save in the low hundreds of millions of dollars annually on law enforcement costs associated with enforcing marijuana laws. As an added bonus, Harriss office said sales tax revenues could add more cash again, in the low hundreds of millions of dollars annually to the states bottom line. Supporters of the proposed ballot measure would need to collect 504,760 signatures by May 23 to get the initiative formally known by its ballot title, Marijuana Legalization. Initiative Statute on the 2014 ballot. The group backing legalization wont actually be collecting signatures for this version of the bill; the lead sponsor told the San Francisco Chronicle that they had tweaked the initiatives language to allow individuals to grow more marijuana for personal use. A revised version [pdf] of the ballot initiative, dubbed the Marijuana Control, Legalization and Revenue Act of 2014, is scheduled to be reviewed by the attorney generals office by the end of January, the Chronicle reported. Both versions of the measure would legalize the use, growth, cultivation, possession, transportation, storage and sale of marijuana, while creating a commission to regulate and issue business licenses for cultivation and sales. The measure would apply retail sales taxes to marijuana sold for recreational purposes, while allocating that money equally to education, health care, law enforcement and drug abuse programs. It also prevents state and local law enforcement officials from enforcing federal marijuana laws. Some California officials who back marijuana legalization had urged fellow supporters to wait until 2016, when the electorate will be larger, younger and more ethnically diverse, to put a measure on the fall ballot. But the ballot summary is so favorable that strategists think they will be able to pass the measure even in the lower-turnout midterm year. California has been in the vanguard of the pro-marijuana movement. The state was the first in the country to legalize the possession and use of marijuana for medical purposes, back in 1996. In 2010, Gov. Arnold Schwarzenegger (R) signed legislation decriminalizing possession of an ounce or less. If the ballot measure passes, California would be the third state to legalize marijuana, along with Washington and Colorado, where voters legalized the drug through ballot measures this year."
https://www.washingtonpost.com/blogs/post-partisan/wp/2013/10/22/looks-like-democrats-have-a-weed-fight-coming/,washingtonpost.com,Looks like Democrats have a weed fight coming,Jonathan Bernstein,10-22-2013,,"The news today from Gallup is that, for the first time in its polling, a majority indeed, a solid majority of Americans back legalizing marijuana . So far, most politicians have stuck with support for the status quo, or perhaps the status quo plus various exemptions and loopholes. With 58 percent of all respondents and 65 percent of Democrats favoring legalization, however, theres now a very good chance that a fair number of ambitious Democratic politicians are going to sign up for full legalization as a way to differentiate themselves in Democratic primaries. Matt Yglesias suggests that Hillary Clinton will be among them . I think thats perhaps premature, but maybe not. The way this probably will unfold is that a fair number of candidates will take a legalization position, and some may even try to run hard on it, in 2014 elections and especially Democratic primaries. If its perceived to be successful, then expect Clintons competitors for 2016 to flirt with or perhaps even embrace the position. Only after that or at least, only after its clear that it will happen would I expect Clinton to go along. As a strong front-runner (and assuming shes running), expect Clinton to avoid positions that she perceives as dangerous in a general election, but also expect her to match Democrats who embrace issues that could divide the party. All of that analysis, for Clinton and the rest, is based on an assumption that candidates will react here to electoral incentives rather than their personal views of the issue. I think thats extremely likely in this case; Id be very surprised if more than a handful of candidates for Congress next year have strong personal feelings on this. In that, its probably very different from marriage; while obviously electoral incentives were important, I suspect a lot of politicians cared quite a bit about it on substantive grounds. Its true that there are some libertarian candidates who may try to run on the issue in Republican primaries, but, for the most part, its still going to be a loser there. And remember: just because most Democratic voters support legalization in polls doesnt mean that its a voting issue for them. But, yes, I do think theres a good chance that its going to be an issue Democratic politicians jump on in 2014 and 2016."
